1,浜崎あゆみ,Hamasaki Ayumi
2,Acid Black Cherry,Acid Black Cherry
3,AI,AI
4,相川七瀬,Aikawa Nanase
5,aiko,aiko
6,AKB48,AKB48
7,明坂聡美,Akesaka Satomi
8,安室奈美恵,Amuro Namie
9,アンジェラ・アキ,Angela Aki
10,BENNIE K,BENNIE K
11,Berryz工房,Berryz Koubou
12,BoA,BoA
13,キャプテンストライダム,Captain Straydum
14,Cocco,Cocco
15,Crystal Kay,Crystal Kay
16,Dew,Dew
17,童子-T,Dohzi-T
18,DREAMS COME TRUE,DREAMS COME TRUE
19,Every Little Thing,Every Little Thing
20,EXILE,EXILE
21,福原美穂,Fukuhara Miho
22,GIRL NEXT DOOR,GIRL NEXT DOOR
23,Gorie with Jasmine and Joann,Gorie with Jasmine and Joann
24,後藤真希,Gotou Maki
25,林原めぐみ,Hayashibara Megumi
26,平野綾,Hirano Aya
27,hitomi,hitomi
28,星野源,Hoshino Gen
29,飯田利信,Iida Toshinobu
30,いきものがかり,Ikimonogakari
31,伊藤加奈子,Itou Kanako
32,鏡音レン,Kagamine Len
33,河西智美,Kasai Tomomi
34,KAT-TUN,KAT-TUN
35,川村結花,Kawamura Yuka
36,Kids Alive,Kids Alive
37,キロロ,Kiroro
38,岸田教団,Kishida Kyoudan
39,コブクロ,Kobukuro
40,倖田來未,Kouda Kumi
41,近藤隆,Kondou Takashi
42,KOKIA,KOKIA
43,倉木麻衣,Kuraki Mai
44,L'Arc~en~Ciel,L'Arc~en~Ciel
45,LISA,LISA
46,Love,Love
47,m-flo,m-flo
48,舞花,Maika
49,松田聖子,Matsuda Seiko
50,松浦亜弥,Matsuura Aya
51,miwa,miwa
52,モーニング娘。,Morning Musume
53,渚ゆう子,Nagisa Yuuko
54,中島美嘉,Nakashima Mika
55,NICO Touches the Walls,NICO Touches the Walls
56,西野カナ,Nishino Kana
57,NMB48,NMB48
58,乃木坂46,Nogizaka46
59,及川光博,Oikawa Mitsuhiro
60,大塚愛,Ootsuka Ai
61,paris match,paris match
62,Perfume,Perfume
63,RADWIMPS,RADWIMPS
64,Ragdoll,Ragdoll
65,The ROOTLESS,The ROOTLESS
66,竜童組,ryudogumi
67,指原莉乃,Sashihara Rino
68,佐藤竹善＆コブクロ,Satou Chikuzen & Kobukuro
69,椎名林檎,Shiina Ringo
70,Superfly,Superfly
71,あおいきさかや,Aoki Sakaya
72,タッキー&翼,Tacky & Tsubasa
73,玉木宏,Tamaki Hiroshi
74,TEE,TEE
75,戸川純,Togawa Jun
76,東方神起,Touhoushinki
77,宇多田ヒカル,Utada Hikaru
78,UVERworld,UVERworld
79,V6,V6
80,やなぎなぎ,Yanagi Nagi
81,YUI,YUI
82,ゆず,Yuzu
